split,review_id,year,category,language,title,excerpt,rating
train,45.0,2010.0,screen,nb,Star Wars: The Clone Wars S02,Episk lasersverdsvingende action!,1
train,47.0,2010.0,screen,nb,Vampire Diaries S01,Uoriginal vampyr-smørje for fjortisene,0
train,48.0,2010.0,screen,nb,Supernatural S05,Skremmende godt om Lucifer og dommedag.,1
train,49.0,2010.0,screen,nb,Human Target S01,"Action, eventyr og den rette dosen humor.",1
train,50.0,2011.0,screen,nb,Koselig med peis,En serie jeg er glad jeg har sett!,1
train,51.0,2011.0,screen,nb,Wallander,Vakker krimserie fra BBC med tredagersskjegg.,1
train,52.0,2011.0,screen,nb,Ashes to Ashes S02,Godt spilt - dårlig skrevet.,0
train,53.0,2011.0,screen,nb,1066: The Battle for Middle Earth,Langdryg historietime.,0
train,54.0,2011.0,screen,nb,The Sopranos S01,Ser vanvittig bra ut på Blu-ray og ruver fortsatt som en bauta!,1
train,55.0,2011.0,screen,nb,Bones S05,Krimkomikk som fungerer best som drama.,0
train,56.0,2011.0,screen,nb,Family Guy S09,Sneier innom de fleste tabuene vi har.,0
train,57.0,2011.0,screen,nb,En moderne familie S01,En sympatisk situasjonskomedie fra skaperne av Frasier,1
train,59.0,2011.0,screen,nn,Chuck S03,Serien som eigentleg ikkje skulle overleve klarte det.,1
train,60.0,2011.0,screen,nb,Stargate Universe S01,Herlig action - langdryg historie,0
train,61.0,2011.0,screen,nb,Brutte Løfter S01,Klassisk og særegen advokatserie produsert av Ridley og Tony Scott!,1
train,63.0,2011.0,screen,nb,Treme S01,Optimisme og kamp i en rimelig rasert by,1
train,65.0,2011.0,screen,nb,South Park S13,Anbefales for for deg som ikke er en nærtagende disneyelskende jødisk hvalaktivist.,1
train,66.0,2011.0,screen,nb,Heroes s04,Folka bak Heroes mangler åpenbart evnen til å gi seg mens leken er god.,0
train,67.0,2011.0,screen,nb,Mad Men S04,Don Draper forfaller med stil!,1
train,70.0,2011.0,screen,nb,The Middle,Ikke morsomt nok.,0
train,71.0,2011.0,screen,nb,Fantomet,Noe rart og noe riktig - miniserie som spriker.,0
train,77.0,2011.0,screen,nb,Castle S02,Kroneksemplet på et unødvendig kulturprodukt,0
train,78.0,2011.0,screen,nb,Løgner S02,Heretter kan du se når noen lyver til deg.,1
train,79.0,2011.0,screen,nb,Skins S02,"Velspilt, trist, morsomt og meget severdig om overgangen til voksenlivet.",1
train,82.0,2011.0,screen,nb,The Walking Dead,Mennesker og zombier i en ny verdensorden,1
train,83.0,2011.0,screen,nb,Murphy's Law s03,Murphy finner storformen på tredje forsøk,1
train,88.0,2011.0,screen,nb,Identity S01,Vakkert politidrama på tomgang.,0
train,89.0,2011.0,screen,nb,Farlig Oppdrag,Lekker britisk militæraction med billig historie,0
train,91.0,2011.0,screen,nb,Eastbound & Down S02,"Lag på lag med skjellsord, nesten som å være tilbake på ungdomsskolen.",1
train,92.0,2011.0,screen,nb,The Event S01,Fortelles så rotete at eventet forsvinner.,0
train,93.0,2011.0,screen,nb,Spooks S04,Krevende og knallbra om spionasje og ekstremisme.,1
train,96.0,2011.0,screen,nb,The Prisoner,Hvordan det må være å miste forstanden,0
train,97.0,2011.0,screen,nb,Supernatural: The Anime Series S01,Skaper forvirring i stedet for fengende overnaturlig horror-anime.,0
train,98.0,2011.0,screen,nb,En moderne familie S02,En perfekt mocku-komedie - full klaff for sesong to!,1
train,100.0,2011.0,screen,nb,Bored to Death S02,En moderne krim noir med hipsterhjerte.,1
train,101.0,2011.0,screen,nb,How to Make It in America S01,En vanedannende serie som føles som den er lagd nå nettopp.,1
train,102.0,2011.0,screen,nb,Fringe S02,Sesong 2 av Fringe tar opp cliffhanger-arven fra serier som Lost og Heroes.,1
train,103.0,2011.0,screen,nb,Breaking Bad S02,<em>The Sopranos</em> har definitivt fått sin arvtager!,1
train,104.0,2011.0,screen,nb,Deadwood - The Ultimate Collection,En skinnende westernperle fra nybrottstiden!,1
train,106.0,2011.0,screen,nb,In Treatment S03,Hvem hadde trodd at tjue minutter med prating kunne være så spennende?,1
train,107.0,2011.0,screen,nb,House S06,Er det ikke nok feildiagnostiseringer snart?,0
train,108.0,2011.0,screen,nb,Bones S06,Fjærlett underholdning som støtter seg på karakterer og driter i plot.,0
train,110.0,2011.0,screen,nb,Nissene over skog og hei,Høydepunktene kommer med 45 sekunders mellomrom.,1
train,111.0,2011.0,screen,nb,Justified S01,Moderne western med nåtidsproblematikk og tidløs problemløsning,1
train,112.0,2011.0,screen,nb,Mildred Pierce,"Prisvinnende serier kan være kjipe, de óg.",0
train,113.0,2012.0,screen,nb,Once Upon a Time,For den ikke så visuelt kresne eventyrfansen,0
train,114.0,2012.0,screen,nb,Broen,Alt du kan ønske deg fra en dansk-svensk spenningsserie!,1
train,115.0,2012.0,screen,nb,Game of Thrones S01,Det beste som har skjedd fantasysjangeren på ti år.,1
train,116.0,2012.0,screen,nb,Hell on Wheels,Verdt å se - grunnet én mann: 'The Swede'.,1
train,118.0,2012.0,screen,nb,Futurama S05 & 6,Verdens beste spedisjonsbyrå vender tilbake og feirer seg selv!,1
train,120.0,2012.0,screen,nb,Mad Men S05E01,Fremdeles det smarteste du kan se på TV!,1
train,121.0,2012.0,screen,nb,Game of Thrones S02,Det episke dramaet forsetter i andre sesong av <em>Game of Thrones</em>.,1
train,122.0,2012.0,screen,nb,Treme s02,Katastrofehåndtering av ypperste slag.,1
train,124.0,2012.0,screen,nn,Sherlock S2,Den moderne Sherlock held fram i same stil. Ypperleg stil!,1
train,126.0,2012.0,screen,nn,Boardwalk Empire S02,Denne gongen er det personleg.,1
train,127.0,2012.0,screen,nb,True Blood S05,Det kan ikke bli mer blodig en dette.,1
train,131.0,2012.0,screen,nb,Forbrytelsen SE03,Intens krim etter velkjent oppskrift.,1
train,132.0,2012.0,screen,nb,The Walking Dead S03,Første episode av sesong tre er et deilig stykke blodig zombiedrama.,1
train,133.0,2012.0,screen,nb,Justified S03,"U. S. Marshall Givens har mista grepet, men <em>Justified</em> er fortsatt like sylskarp.",1
train,134.0,2012.0,screen,nb,Nashville S01,En velskrevet dramaserie som det er verdt å følge med på!,1
train,135.0,2012.0,screen,nb,American Horror Story: Asylum,"Andre sesong av <em>American Horror Story</em> byr på blod, gørr og grøss!",1
train,136.0,2013.0,screen,nb,Girls S02,"Velskrevet, morsom og flau – andre sesong av <em>Girls</em> skuffer ikke.",1
train,137.0,2013.0,screen,nn,House of Cards S01 E01-02,<em>The West Wing</em> sin vonde tvillingbror.,1
train,138.0,2013.0,screen,nb,Banshee S01,"Hr. Hovedrolle, du må gjerne dø for min del",0
train,142.0,2013.0,screen,nb,Game of Thrones S03 E01-02,"Kvalitet – og Kristofer Hivju, er stikkordene for tredje sesong av <em>Game of Thrones</em>.",1
train,145.0,2013.0,screen,nb,Hannibal S01,Et vakkert og skremmende etterforskningsdrama som gir nytt liv til den legendariske seriemorderen.,1
train,146.0,2013.0,screen,nn,Hemlock Grove S01,Ufokusert småbyskrekk med nokre få gode augneblink.,0
train,148.0,2013.0,screen,nb,Game of Thrones S03,Det blir ikke bedre enn dette.,1
train,151.0,2013.0,screen,nn,Orange is the new black S01 E01-E06,God svart dramedie frå skaparen av «Weeds».,1
train,154.0,2013.0,screen,nb,The Newsroom S02 E01-E02,Serien som ville gitt PFU mareritt.,0
train,156.0,2013.0,screen,nb,Boardwalk Empire S04 E01-05,Givende tålmodighetsprøve.,1
train,157.0,2013.0,screen,nb,Derek S01 E01-04,Dette er gull for Gervais-fans!,1
train,158.0,2013.0,screen,nn,Hello Ladies S01 E01-02,Eg kjem ikkje til å gi Stephen Merchant ein tredje date.,0
train,160.0,2013.0,screen,nb,Eastbound & Down S04 E01-02,"Kenny er blitt tøffel ... Neida, POWERS IS BACK!",0
train,161.0,2013.0,screen,nb,The Walking Dead S04 E1 - E2,En lovende start på sesong fire av AMCs zombiedrama.,1
train,162.0,2013.0,screen,nn,Breaking Bad S05,"Blood, toil, tears... and meth.",1
train,163.0,2013.0,screen,nb,Marvel's Agents of S.H.I.E.L.D S01 E01,En herlig start på en etterlengtet superserie.,1
train,166.0,2013.0,screen,nn,Krigens unge hjarte,Ei truverdig historie om fem skjebnar under den andre verdskrigen.,1
train,167.0,2013.0,screen,nn,The Americans S01E01,Spennande TV-serie om den – på overflata – perfekte forstadsfamilien.,1
train,168.0,2013.0,screen,nb,Top of the Lake,En rystende krimserie.,1
train,169.0,2014.0,screen,nn,Sherlock S03 E01,"Privatdetektiven er like skarp som før, om enn litt meir sjølvbevisst.",1
train,171.0,2014.0,screen,nb,True Detective S01 E01-03,HBOs nye krimserie er et strålende og stemningsfullt karakterdrama.,1
train,172.0,2014.0,screen,nn,Girls S03 E01-06,I-landsproblemets yppersteprestinner.,1
train,173.0,2014.0,screen,nn,House of Cards S02 E01-04,Held på stemninga frå førre sesong.,1
train,176.0,2014.0,screen,nn,Gjengangerne S01 E01-02,Når vi døde vil ha kveldsmat.,1
train,177.0,2014.0,screen,nb,Game of Thrones S04 E01-03,En strålende oppladning før helvete bryter løs.,1
train,178.0,2014.0,screen,nb,Mad Men S07E01,Fremdeles et stilsikkert drama av høy kvalitet.,1
train,179.0,2014.0,screen,nb,Orange Is the New Black S02 E01-E06,Mørkere og morsom fengselsblues.,1
train,180.0,2014.0,screen,nb,Game of Thrones S04,Oppgjørets time er kommet!,1
train,181.0,2014.0,screen,nb,True Blood S07 E01-02,En blodfattig start på seriens finale.,0
train,182.0,2014.0,screen,nb,The Leftovers S01 E01-03 + 05,Kan bli en av årets beste serieopplevelser.,1
train,184.0,2014.0,screen,nb,Beatles,"Pen, pyntelig og tam.",0
train,187.0,2014.0,screen,nb,The Leftovers S01,En fengslende serie med mange spørsmål og få svar.,1
train,188.0,2014.0,screen,nb,Gotham S01 E01,En skuffende start på serien om Batmans opphav.,0
train,189.0,2014.0,screen,nb,Homeland S04 E01-02,Forfriskende bra spiondrama!,1
train,190.0,2014.0,screen,nb,The Walking Dead S05 E01,En mørk og urovekkende sesongstart.,1
train,191.0,2014.0,screen,nb,The Americans S02E01,Glimrende spiondrama som fortsetter der det slapp - heldigvis.,1
train,196.0,2014.0,screen,nb,Halo: Nightfall – episode 3,Strandet på fremmed jord.,0
train,197.0,2014.0,screen,nb,State of Affairs,Lite troverdig spionthriller.,0
train,198.0,2015.0,screen,nb,Looking S02 E01-E05,Lun mannekos i hverdagsvakker dramedie.,1
train,199.0,2015.0,screen,nb,Togetherness S01,En ærlig dramakomedie om hverdagens problemer.,1
train,201.0,2015.0,screen,nb,Black Sails S02 E01-E02,Popkornpirater uten sjøbein.,0
train,202.0,2015.0,screen,nb,Fortitude S01 E01-03,"Nordisk krim på britisk, satt i verdens nordligste by.",1
train,203.0,2015.0,screen,nb,Modern Family S06 E01-02,Fortsatt like morsom etter seks sesonger.,1
train,204.0,2015.0,screen,nb,Better Call Saul S01 E01-E02,"Munnrapp, velbygd og vellykket spin-off fra <em>Breaking Bad</em>.",1
train,205.0,2015.0,screen,nb,The Walking Dead S05 E09,Zombiedramaet er mørkere enn noensinne.,1
train,206.0,2015.0,screen,nb,The Jinx: The Life and Deaths of Robert Durst E01-E02,Drivende spennende krim fra virkeligheten.,1
train,207.0,2015.0,screen,nb,Bosch S01 E01-E07,En hardkokt politietterforsker det er lett å bli glad i.,1
train,208.0,2015.0,screen,nb,Vikings S03 E01-E03,Skandinaviske krigere uten mål og mening.,0
train,211.0,2015.0,screen,nb,Parks and Recreation S07,Takk for alt Leslie Knope.,1
train,213.0,2015.0,screen,nb,Unbreakable Kimmy Schmidt S01 E01 - E06,Mørk og morsom situasjonskomedie om traumer og livsglede.,1
train,214.0,2015.0,screen,nb,Babylon S01 E01,"Sprikende, underholdende og svært lovende politisatirepilot fra Danny Boyle.",1
train,215.0,2015.0,screen,nb,American Crime S01 E01-02,Mørkt og modig om hudfarge og fordommer.,1
train,216.0,2015.0,screen,nb,Bloodline S01 E01 - E03,Ubehagelig bra om familiehemmeligheter.,1
train,218.0,2015.0,screen,nb,The Neighbors S01 E01-04,"Det beste med denne serien er dørhåndtakene, som ikke utpeker seg i noen som helst grad.",0
train,219.0,2015.0,screen,nb,Marvel's Daredevil S01 E01-E05,Suveren superheltserie.,1
train,220.0,2015.0,screen,nb,Mad Men S07 E08,"Velkledd, velspilt og veldig bra.",1
train,221.0,2015.0,screen,nb,Rectify S01,Et hypnotisk krimdrama som ikke haster mot svaret.,1
train,223.0,2015.0,screen,nb,iZombie S01 E01-02,"Hjernedød underholdning, som fungerer sånn passe.",0
train,224.0,2015.0,screen,nb,Game of Thrones S05 E01-04,Spenningen tilspisser seg i Westeros.,1
train,225.0,2015.0,screen,nb,Silicon Valley S02 E01 - E03,Sitatvennlige nerder som punkterer IT-bransjens pompøsitet.,1
train,226.0,2015.0,screen,nb,HAPPYish S01 E01-03,Midtlivskrisekomedie uten brodd.,0
train,230.0,2015.0,screen,nb,The Strain S01,Vær så snill! La Guillermo del Toro få lage flere tv-serier.,1
train,259.0,2015.0,screen,nb,The Leftovers S02 E01-E03,"Frustrerende, men fengslende mystikk i starten av andre sesong.",1
train,262.0,2015.0,screen,nb,Fargo S02 E01 - E04,Et lunt og blodig mesterverk.,1
train,263.0,2015.0,screen,nb,Code Black S01 E01 - E03,Sykehusdrama med mangelsykdommer.,0
train,264.0,2015.0,screen,nb,Det siste kongeriket S01 E01 - E02,Tøft vikingdrama.,1
train,265.0,2015.0,screen,nb,American Horror Story: Hotel – Sesongpremiere,Håper dette er en dårlig start på noe bedre.,0
train,266.0,2015.0,screen,nb,Gjengangerne S02 E01 - 02,Et fascinerende drama med en nifs atmosfære.,1
train,267.0,2015.0,screen,nb,Ash vs Evil Dead: Sesongpremiere,Den tøffeste seriestarten på årevis!,1
train,269.0,2015.0,screen,nb,Flesh and Bone,"En vakker, men ufokusert miniserie om ballettens harde virkelighet.",0
train,270.0,2015.0,screen,nb,Master of None S01,Mesterlig av Aziz Ansari.,1
train,271.0,2015.0,screen,nb,The Bastard Executioner S01 E01 - E06,<em>The Bastard Executioner</em> er både bloddryppende og uengasjerende på samme tid.,0
train,272.0,2015.0,screen,nb,Jessica Jones S01 E01 - 07,En beinhard dame som ikke vil bli reddet.,1
train,274.0,2015.0,screen,nb,Deutschland 83 S01,"Spennende, underholdende og lekker spionserie.",1
train,275.0,2015.0,screen,nb,"Maniac S01 E01 - E02, E05 og E08",En lun serie som bommer litt på balansen mellom komikk og drama.,0
train,277.0,2015.0,screen,nb,Transparent S02 E01-E03,Et stilstudie i velkomponerte små sammenbrudd.,1
train,378.0,2008.0,games,nb,GTA IV,Brutalt og genialt.,1
train,379.0,2009.0,screen,nb,Jakten på hukommelsen,"Tenk deg at du plutselig sitter på et tog i Kina og ikke vet hvem du er, hvor du er, hva et tog er, hva Kina er, eller at du egentlig burde være litt bekymret over situasjonen.",1
train,380.0,2009.0,screen,nb,Jacques Mesrine Del 1: Instinkt for mord,Hva hadde filmer vært uten skurker? Ganske kjedelig - og helt utenkelig! Gi meg mer!,1
train,382.0,2009.0,games,nb,Anno 1404,"En ""must-have"" i byggespill-samlingen!",1
train,383.0,2009.0,screen,nb,Last chance Harvey,"Voksne mennesker som får en ny sjanse i livet er et populært tema på film. Nå er det Dustin Hoffman og Emma Thompson som spiller disse rollene, og det burde de kanskje ikke gjort.",0
train,384.0,2009.0,screen,nb,Transformers: De beseirede slår tilbake,Her er det for mye av alt.,0
train,385.0,2009.0,screen,nb,My Bloody Valentine 3D,"Mørkt, morsomt og underholdende! Blodet spruter, lemmene flyr, og jeg jubler!",1
train,387.0,2009.0,screen,nb,Punisher: War Zone (Blu-ray),"Dette er en av de tøffeste actionfilmene jeg har sett på lenge, og det er utrolig at Medietilsynet har utstyrt den med 15-års grense.",1
train,388.0,2009.0,games,nb,Batman: Arkham Asylum,"Arkham Asylum er et mørkt, skummelt og fantastisk artig sted!",1
train,389.0,2009.0,screen,nb,Gamer,"Jeg elsket duoen Neveldine/Taylors regidebut, den morsomme actionfilmen ”Crank” fra 2006. Men de har gjort en tabbe med ”Gamer”. Den er rett og slett ikke morsom!",0
train,390.0,2009.0,screen,nb,The Ugly Truth,Er det virkelig plass til denne OG ”The Proposal” samtidig på kino? Jeg tror ikke det.,0
train,391.0,2009.0,screen,nb,District 9,"En av årets store opplevelser på kino er District 9, en dokumentarisk sci-fi som virkelig kicker ass!",1
train,394.0,2009.0,screen,nb,The Hurt Locker,Kathryn Bigelow viser seg nok en gang som en kvinnelig regissør med enorme baller!,1
train,395.0,2009.0,games,nb,Uncharted 2: Among Thieves,- En klar kandidat til årets spill 2009!,1
train,398.0,2009.0,screen,nb,Surrogates,”Surrogates” er en fantasifull science fiction-film som likevel ligger farlig nær virkeligheten.,0
train,399.0,2009.0,screen,nb,Julie & Julia,"Frem med matmetaforene, for ”Julie & Julia” er en smakfull rett med en svært viktig ingrediens, nemlig Meryl Streep.",1
train,400.0,2009.0,screen,nb,Svik,Lene Nystrøms skuespillerdebut er en klassisk røverfilm som misser på enkelte sentrale punkter.,0
train,401.0,2009.0,screen,nb,Michael Jackson: This Is It,Jacko var ikke død.,1
train,403.0,2009.0,games,nb,Dragon Age: Origins,Endelig et skikkelig eventyr!,1
train,404.0,2009.0,screen,nb,Law Abiding Citizen,Gerard Butler slipper hevnlysten fri!,0
train,410.0,2009.0,games,nb,New Super Mario Bros. Wii,"Mario og Luigi er tilbake, det var på tide!",1
train,415.0,2009.0,screen,nb,Arthur og Maltazards hevn,"Akkurat like underholdende som ""Arthur og Minimoyene"", og faktisk litt bedre!",1
train,417.0,2009.0,screen,nb,In The Loop,"Hvem sa at politikk er kjedelig? ""In The Loop"" handler om politikk på verdensplan, og er årets morsomste og smarteste film!",1
train,419.0,2009.0,screen,nb,The Imaginarium of Doctor Parnassus,Velkommen til Terry Gilliams fantasiunivers.,1
train,420.0,2009.0,screen,nb,Det hvite båndet,En foruroligende historie og interessant kunstopplevelse fra tysk regissør.,1
train,421.0,2009.0,screen,nb,It's Complicated,Voksen kjærlighet med bauta Meryl Streep.,0
train,423.0,2010.0,games,nb,Bayonetta,Brutal radbrekking av alt som er hellig.,1
train,425.0,2010.0,screen,nb,Polytechnique (5),"""Polytechnique"" er et dystert dokument over en uforståelig tragedie.",1
train,431.0,2010.0,games,nb,Mass Effect 2,"Star Wars, ta deg en bolle!",1
train,432.0,2010.0,screen,nb,Did you hear about the Morgans?,"En søt og velmenende, men også forutsigbar og tannløs, film. Jeg liker humor som biter litt. Denne filmen trenger gebiss.",0
train,434.0,2010.0,screen,nb,Cold Souls,En merksnodig film som det lukter både Charlie Kaufman og Terry Gilliam av. Jeg elsker den!,1
train,437.0,2010.0,screen,nb,Percy Jackson og lyntyven,"Den er ikke uten kvaliteter, men oppleves som en skamløs kopi av Harry Potter.",0
train,438.0,2010.0,screen,nb,A single man,"En øm, varm og sår historie om en svært ulykkelig mann, gnistrende godt spilt av Colin Firth!",1
train,440.0,2010.0,games,nb,Bioshock 2,På havets bunn er du helt alene.,1
train,441.0,2010.0,games,nb,Heavy Rain,"Et spill uten sidestykke, men ikke uten feil.",1
train,443.0,2010.0,screen,nb,The Road,Et skremmende bilde av hva som skjer etter at alt har gått i oppløsning.,1
train,445.0,2010.0,screen,nb,Fish Tank,Et imponerende stykke arbeid som fortjener sitt publikum!,1
train,446.0,2010.0,games,nb,Battlefield: Bad Company 2,Svenske DICE imponerer stadig med sin Battlefield-serie.,1
train,447.0,2010.0,games,nb,Final Fantasy XIII,Japanerne viser igjen hvorfor de er best på enorme eventyrspill!,1
train,448.0,2010.0,games,nb,God of War III,Fortsetter der det forrige slapp: Det er et helvete på jord og gudene gir faen!,1
train,451.0,2010.0,games,nb,Sam & Max: The Penal Zone,Episodebaserte spill er fremtiden.,1
train,455.0,2010.0,games,nb,ModNation Racers,Mario Kart på speed!,1
train,456.0,2010.0,games,nb,Alan Wake,Ikke for lettskremte sjeler.,1
train,458.0,2010.0,games,nb,Skate 3,Sport blir gøy med rullebrett.,1
train,459.0,2010.0,games,nb,Red Dead Redemption,Fyttirakkern for et spill!,1
train,461.0,2010.0,games,nb,Alpha Protocol,"Huff, styr unna!",0
train,462.0,2010.0,games,nb,Super Mario Galaxy 2,Nintendo lykkes med det nye Mario-spillet.,1
train,463.0,2010.0,games,nb,Joe Danger,Motorsykkelfest på plattform!,1
train,465.0,2010.0,games,nb,Singularity,Kald krig og atomfrykt møter tidsreiser!,1
train,467.0,2010.0,games,nb,Crackdown 2,Hva? Er det dette jeg har ventet på?,0
train,468.0,2010.0,games,nb,DeathSpank,Dette er en sann historie ... NOT!,1
train,469.0,2010.0,games,nb,Starcraft II,Helt rått ... nesten.,1
train,470.0,2010.0,games,nb,Kane & Lynch 2: Dog Days,En svett og klam asiatisk maraton,1
train,472.0,2010.0,games,nb,Mafia II,Jeg føler meg lurt.,0
train,473.0,2010.0,games,nb,PS Move: Sports Champions,Wii kan gå og legge seg!,1
train,474.0,2010.0,games,nb,PS Move: Start the Party,"Herregud, så utrolig morsomt!",1
train,475.0,2010.0,games,nb,Metroid: Other M,"Samus er tilbake! Oh yeah, baby!",1
train,476.0,2010.0,games,nb,Halo: Reach,Et verdig punktum.,1
train,477.0,2010.0,games,nb,NHL 11,Imponerende ishockey!,1
train,478.0,2010.0,games,nb,Civilization 5,Til: Stormannsgale spillere. Fra: Firaxis.,1
train,479.0,2010.0,games,nb,FIFA11,EA drar fra motstanderne med et strålende fotballspill.,1
train,480.0,2010.0,games,nb,Enslaved: Odyssey to the West,Årets spilloverraskelse!,1
train,481.0,2010.0,games,nb,Medal of Honor,Krigsspill uten brodd.,0
train,483.0,2010.0,games,nb,Game Dev Story,Best på iPhone akkurat nå!,1
train,486.0,2010.0,games,nb,Fable 3,Resirkulert eventyr.,0
train,487.0,2010.0,games,nb,Star Wars: The Force Unleashed 2,"Blir du på den mørke siden, eller velger du lyset?",1
train,491.0,2010.0,games,nb,GoldenEye 007,Kun for nostalgikere.,0
train,492.0,2010.0,games,nb,Call of Duty: Black Ops,Full anmeldelse av både en- og flerspillerdelen.,1
train,493.0,2010.0,games,nb,Dance Central,"Jeg er mann, jeg danser!",1
train,494.0,2010.0,games,nb,Blood Stone 007,James Bond på lavt budsjett.,0
train,496.0,2010.0,games,nb,Need For Speed: Hot Pursuit,"Høy fart, flotte biler, stor moro!",1
train,497.0,2010.0,games,nb,Majin And The Forsaken Kingdom,Det var en fryd å utforske dette eventyret!,1
train,499.0,2010.0,games,nb,Gran Turismo 5,Førsteinntrykk: pent!,1
train,501.0,2010.0,games,nb,Infinity Blade,Knivskarp action til iPhone og iPad.,1
train,503.0,2010.0,games,nb,Monopoly HD,En kapitalistisk klassiker i HD!,1
train,504.0,2010.0,games,nb,RISK HD,Knus dine fiender på en lavmælt måte.,0
train,505.0,2010.0,games,nb,"Laugh It Up, Fuzzball: The Family Guy Trilogy",Dette kan være i din gate.,1
train,506.0,2010.0,games,nb,SimCity Deluxe Edition HD,Et herlig gjensyn på en ny plattform!,1
train,507.0,2010.0,games,nb,World of Goo,Fascinerende konstruksjonsspill!,1
train,508.0,2011.0,games,nb,LittleBigPlanet 2,Kreativ spillgalskap.,1
train,509.0,2011.0,games,nb,Angry Birds,Fuglene gjør seg godt på Playstation 3.,1
train,511.0,2011.0,games,nb,ArkanoArena,Nyversjonen av Arkanoid fenger ikke,0
train,512.0,2011.0,games,nb,Moral Decay,Jesus er tilbake i retro 8-bits plattformskyter!,1
train,513.0,2011.0,games,nb,ilomilo,Søtt og eksentrisk på Xbox Live Arcade.,1
train,516.0,2011.0,games,nb,Dead Space 2,Anbefales ikke til NOEN under 18 år.,1
train,518.0,2011.0,games,nb,the little crane that could,Løs kompliserte kranføreroppdrag på iPad!,1
train,519.0,2011.0,games,nb,Mario Sports Mix,Halvkokt pasta fra den lubne italieneren.,0
train,521.0,2011.0,games,nb,Killzone 3,En variert skytefest!,1
train,522.0,2011.0,games,nb,Test Drive Unlimited 2,Skal dette være et bilspill?,0
train,523.0,2011.0,games,nb,Marvel vs. Capcom 3: Fate of Two Worlds,Som Street Fighter på speed!,1
train,524.0,2011.0,games,nb,Bulletstorm,Det er kun din egen kreativitet som setter grenser i dette spillet.,1
train,525.0,2011.0,games,nb,Kirby's Epic Yarn,Helt fabelaktig!,1
train,526.0,2011.0,games,nb,Puzzle Agent Episode 1 HD,En perle av et spill!,1
train,527.0,2011.0,games,nb,Fight Night Champion,Finn frem tigerøyet!,1
train,528.0,2011.0,games,nb,Dragon Age II,Du blir garantert hekta på dette spillet!,1
